feature,importance
Number,0.050515099196878854
Tot sum,0.02799529886245155
Max,0.015873055453950284
Rate,0.01466536101409008
ack_flag_number,0.014616978675607028
Tot size,0.014064516381646793
AVG,0.013105456399922602
Header_Length,0.012209166611681194
HTTPS,0.011922566616524398
Min,0.01141284647145669
Protocol Type,0.010243495906857938
TCP,0.009244362771844311
ack_count,0.00871022639201949
Variance,0.008287074586072056
syn_count,0.0072152192793822545
Std,0.00675100205502927
IAT,0.006471586488342645
syn_flag_number,0.00614476726269473
Time_To_Live,0.005785457825626263
SSH,0.004893391822121402
HTTP,0.004735948731016887
psh_flag_number,0.004267946097368973
UDP,0.004201261933318893
rst_flag_number,0.00401757108275956
rst_count,0.003923220085650689
ICMP,0.002813755383934181
DNS,0.0026900080163205107
fin_flag_number,0.0010673209629901285
fin_count,0.0009711312710505138
LLC,0.0007580885745212459
IPv,0.0007339684413746961
ARP,0.0006972916187770096
DHCP,0.00011564253884511462
ece_flag_number,3.8698492730733406e-05
IGMP,2.4075649713989524e-05
cwr_flag_number,1.7761268850948345e-05
IRC,1.208368262573743e-05
Telnet,4.501206688609014e-06
SMTP,3.5380529781999705e-06
