feature,importance
Number,3.0634286
Tot sum,0.8424346
AVG,0.49623787
Max,0.48778614
Header_Length,0.43767503
Min,0.41894737
Rate,0.38096952
Std,0.35666704
IAT,0.3486319
HTTPS,0.30402872
Time_To_Live,0.23113886
TCP,0.20102547
ack_count,0.18946128
ack_flag_number,0.1513909
UDP,0.1504347
HTTP,0.14972447
DNS,0.14468576
syn_count,0.13499522
ARP,0.13403492
syn_flag_number,0.128712
psh_flag_number,0.12309949
Protocol Type,0.1053832
rst_flag_number,0.101393506
SSH,0.056801923
ICMP,0.053373326
fin_flag_number,0.05249166
rst_count,0.021397203
fin_count,0.015776722
DHCP,0.0073938593
ece_flag_number,0.0033005853
IGMP,0.0012661068
IRC,0.000733029
cwr_flag_number,0.00031309866
Telnet,7.987807e-05
SMTP,2.7274182e-05
LLC,0.0
IPv,0.0
Tot size,0.0
Variance,0.0
