feature,importance
src_bytes,1.4136614
count,0.89898545
dst_bytes,0.8188602
dst_host_srv_count,0.719748
service,0.6666575
dst_host_same_src_port_rate,0.4805932
dst_host_same_srv_rate,0.36928743
dst_host_rerror_rate,0.35824814
srv_count,0.3461988
dst_host_count,0.32504225
protocol_type,0.3106963
dst_host_diff_srv_rate,0.30480546
dst_host_serror_rate,0.2307084
duration,0.23026179
diff_srv_rate,0.1624559
flag,0.1518386
dst_host_srv_serror_rate,0.14476728
dst_host_srv_diff_host_rate,0.13169158
same_srv_rate,0.13137554
logged_in,0.12595113
wrong_fragment,0.11204838
hot,0.11018572
srv_serror_rate,0.09800884
num_file_creations,0.09204387
srv_diff_host_rate,0.08443286
serror_rate,0.057811018
is_guest_login,0.052511822
dst_host_srv_rerror_rate,0.049742192
rerror_rate,0.035273954
num_compromised,0.020888614
srv_rerror_rate,0.017924739
num_failed_logins,0.014693379
num_root,0.012753943
land,0.0085892845
root_shell,0.007679339
num_access_files,0.0045953677
is_host_login,0.0033907413
urgent,0.002678337
su_attempted,0.0007728964
num_shells,0.00031819433
