feature,importance
sbytes,0.019903271484297942
smean,0.01770321273440628
sttl,0.016354262669096495
ct_dst_src_ltm,0.01623693587041807
service,0.015469182007339004
ct_srv_dst,0.013332746475111085
ct_state_ttl,0.011185483994891063
ct_dst_sport_ltm,0.010267833154333996
dmean,0.008305099657228589
ct_srv_src,0.007748297308817468
dload,0.006577308266694868
ct_src_dport_ltm,0.00638770591744816
proto,0.006344826185413375
dbytes,0.006015516152187657
dttl,0.004702484836757739
sloss,0.004637450128385504
sload,0.004229597049016785
synack,0.003960037003964794
rate,0.0037685672219550533
ct_flw_http_mthd,0.00349938772023905
dloss,0.0034513357322133367
tcprtt,0.003408046730021253
dpkts,0.0032769766535047638
trans_depth,0.0031836527104579823
ct_src_ltm,0.002933202419990384
sjit,0.0029180554022152473
ackdat,0.0028658646680363026
sinpkt,0.0026484271606520855
spkts,0.0025838779628041203
dinpkt,0.0024721111413393425
ct_dst_ltm,0.002442324218701561
state,0.002398463014164731
dur,0.002300034453259927
djit,0.001973626491519391
swin,0.0018736086439553777
response_body_len,0.0018628838302408514
stcpb,0.0018473120332820837
dtcpb,0.0018116625959935199
dwin,0.0005075598644218919
is_sm_ips_ports,0.00034435447432992116
ct_ftp_cmd,5.283381327466921e-05
is_ftp_login,4.525038076060047e-05
