feature,importance
smean,0.86047775
sbytes,0.8604721
service,0.7174336
sttl,0.56887734
proto,0.4746256
ct_dst_src_ltm,0.35987556
ct_srv_src,0.3524412
ct_srv_dst,0.31585875
dload,0.24883968
ct_src_dport_ltm,0.2447758
synack,0.23280399
dmean,0.22127366
dbytes,0.2043697
sloss,0.20395105
ct_src_ltm,0.18865058
ackdat,0.16146763
stcpb,0.15559709
dtcpb,0.1433012
sload,0.13652842
tcprtt,0.12900966
ct_dst_sport_ltm,0.12359375
dur,0.12211148
dloss,0.11523428
ct_dst_ltm,0.11511444
dinpkt,0.113207445
sjit,0.1032864
djit,0.10263939
response_body_len,0.0979
rate,0.09347681
sinpkt,0.08927574
spkts,0.08273334
ct_state_ttl,0.05237058
trans_depth,0.03125761
dpkts,0.027146585
ct_flw_http_mthd,0.022266
state,0.012476238
dttl,0.0020708623
swin,0.0017772429
is_sm_ips_ports,0.0017375232
is_ftp_login,0.001601742
dwin,0.0
ct_ftp_cmd,0.0
